Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,Cluster
0,-0.9451520560501482,4,1,0.7601301393679355,0.3373458998387599,1.0019811499741438,True,-0.11835933442110627,1,3
1,0.08282563076635878,2,2,-0.17945875178664214,-0.38553817124429685,0.13947893037023135,False,-0.6399067612767009,0,3
0,1.9331854670360713,0,0,-0.9255703307944351,-0.867460885299668,-1.0680241770752457,True,1.1482558450853377,2,2
1,-0.7395565186868468,5,1,1.7561441508626756,1.5421526849771878,1.1744815938949273,False,-1.0869474128672105,1,1
1,-1.356343130776751,3,2,-0.345691581808397,0.09638454281107432,-0.03302151355055053,True,2.1168439235314422,2,0
0,0.699612242856263,1,0,-1.1190476429412195,-1.1084222423273535,-1.5855255088375928,False,-0.3418796602163611,0,2
0,-0.5339609813235454,4,1,0.8442146324238643,0.5783072568664455,0.829480706053362,True,0.10516099137414857,1,3
1,0.2884211681296602,2,2,-0.12303363144647918,-0.14457681421661125,0.3119793742910148,False,-0.9379338623370407,0,3
0,1.5219943923094685,0,0,-0.9684423585038727,-0.6264995282719824,-0.7230232892336804,True,0.9992422945551679,2,2
1,-1.1507475934134497,5,1,1.866228454271425,2.024075399032559,1.3469820378157091,False,-1.3104677386624655,1,1
1,-0.32836544396024403,3,2,-0.4289462936828533,-0.38553817124429685,-0.37802240139211585,True,0.5522016429646582,2,0
0,0.49401670549296156,1,0,-1.036899305975394,-1.3493835993550392,-1.4130250649168101,False,-0.490893210746531,0,2
0,-0.7395565186868468,4,1,0.9830646834570107,0.8192686138941311,0.48447981821179664,True,-0.41638643548144605,1,3
1,-0.12276990659694262,2,2,-0.06812977660568323,0.09638454281107432,0.6569802621325801,False,-0.8634270870719557,1,3
0,1.72758992967277,0,0,-0.8712196634079546,-0.867460885299668,-0.895523733154463,True,0.850228744024998,2,2
1,-0.9451520560501482,5,1,1.423955084546324,1.3011913279495022,1.5194824817364927,False,-1.1614541881322955,1,1
1,-1.5619386681400524,3,2,-0.4004571397856139,-0.14457681421661125,-0.5505228453128977,True,1.5952964966758474,2,0
0,0.9052077802195644,1,0,-1.0911116764982958,-1.1084222423273535,-1.7580259527583755,False,-0.11835933442110627,0,2
